Case,ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP133644,ME/C Case K24-30566,10/14/2024,45,60,Brooklyn,Kings,New York,Male,Hispanic / Latino,12/3/2024
UP133525,ME/C Case 24-1805,10/13/2024,,,Tucker,DeKalb,Georgia,Male,Hispanic / Latino,12/9/2024
UP132394,ME/C Case Q24-30133,10/10/2024,60,70,Queens,Queens,New York,Male,Hispanic / Latino,11/4/2024
UP131734,ME/C Case M24-29053,9/30/2024,45,65,Manhattan,New York,New York,Male,White / Caucasian,12/14/2024
UP133071,ME/C Case CC-24-0843,9/24/2024,,,Coatesville,Chester,Pennsylvania,Unsure,Uncertain,11/12/2024
UP132393,ME/C Case M24-28385,9/23/2024,60,70,Manhattan,New York,New York,Male,Uncertain,11/4/2024
UP131597,ME/C Case B24-28291,9/22/2024,40,60,Bronx,Bronx,New York,Male,Black / African American,10/29/2024
UP131511,ME/C Case C2024-01910,9/21/2024,,,New Canton,Buckingham,Virginia,Male,Uncertain,10/23/2024
UP134786,ME/C Case 24-11909,9/14/2024,,,La Plata,Charles,Maryland,Male,Uncertain,12/12/2024
UP130654,ME/C Case R24-27569,9/13/2024,40,50,Staten Island,Richmond,New York,Male,Hispanic / Latino,10/7/2024
UP129686,ME/C Case ME24-9755/B24-4477,9/4/2024,,,Raeford,Hoke,North Carolina,Female,Uncertain,11/19/2024
UP134780,ME/C Case 24-11319,9/2/2024,60,70,Baltimore,Baltimore,Maryland,Male,White / Caucasian,12/14/2024
UP129497,ME/C Case B24-25958,8/29/2024,50,70,Bronx,Bronx,New York,Male,Black / African American,9/16/2024
UP130914,ME/C Case 240821-976,8/21/2024,45,60,Russellville,Hamblen,Tennessee,Male,White / Caucasian,12/16/2024
UP128196,ME/C Case K24-24829,8/19/2024,20,30,Brooklyn,Kings,New York,Male,Uncertain,12/9/2024
UP131101,ME/C Case K24-24915,8/19/2024,35,45,Brooklyn,Kings,New York,Male,Hispanic / Latino,12/16/2024
UP132693,ME/C Case S2024-0004,8/18/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/24/2024
UP135197,ME/C Case 24-10433,8/13/2024,30,40,Baltimore,Baltimore,Maryland,Female,Black / African American,12/19/2024
UP134390,ME/C Case 16-24-0642,8/10/2024,,,Passaic,Passaic,New Jersey,Male,Uncertain,12/12/2024
UP127646,ME/C Case M24-23586,8/6/2024,25,35,Manhattan,New York,New York,Male,Uncertain,8/29/2024
UP127039,ME/C Case 2024-2399,7/29/2024,20,40,York,York,Maine,Male,Uncertain,10/4/2024
UP127098,ME/C Case Q24-22034,7/22/2024,40,50,Flushing,Queens,New York,Male,Hispanic / Latino,8/12/2024
UP133735,ME/C Case 24-08803,7/9/2024,20,100,Lanham,Prince George's,Maryland,Male,Hispanic / Latino,12/6/2024
UP126856,ME/C Case 24-2319,7/3/2024,27,44,Nashville,Davidson,Tennessee,Male,White / Caucasian,8/8/2024
UP129872,ME/C Case B24-19458,6/26/2024,30,40,Bronx,Bronx,New York,Male,Hispanic / Latino,9/25/2024
UP127078,ME/C Case 24-12337,6/21/2024,,,Bridgeport,Fairfield,Connecticut,Male,Uncertain,8/8/2024
UP124649,ME/C Case WINMA24-00740,6/20/2024,,,Lexington,Davidson,North Carolina,Male,Uncertain,11/6/2024
UP124465,ME/C Case M24-17521,6/7/2024,35,55,Manhattan,New York,New York,Male,Uncertain,9/3/2024
UP123910,ME/C Case 24-2582,6/4/2024,29,39,Philadelphia,Philadelphia,Pennsylvania,Male,Hispanic / Latino,8/21/2024
UP124277,ME/C Case ME24-5871/B24-2665,5/27/2024,,,Fayetteville,Cumberland,North Carolina,Male,Uncertain,6/20/2024
UP124188,ME/C Case R24-16195,5/26/2024,65,75,Staten Island,Richmond,New York,Male,White / Caucasian,11/4/2024
UP124233,ME/C Case 2024-7559,5/25/2024,15,30,Chatham,Barnstable,Massachusetts,,"White / Caucasian, Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Other, Uncertain",7/10/2024
UP123804,ME/C Case 2024-7301,5/20/2024,30,80,South Boston,Suffolk,Massachusetts,Male,"Other, Uncertain",10/23/2024
UP123944,ME/C Case K24-15400,5/17/2024,50,70,Brooklyn,Kings,New York,Male,Uncertain,6/26/2024
UP125190,ME/C Case N2024-00853,5/15/2024,,,,Stafford,Virginia,Unsure,Uncertain,7/8/2024
UP122547,ME/C Case M24-14926,5/13/2024,16,23,Manhattan,New York,New York,Male,Black / African American,10/4/2024
UP124220,ME/C Case 24-0689,5/11/2024,20,50,Niagara Falls,Niagara,New York,Male,"Hispanic / Latino, Asian, American Indian / Alaska Native, Uncertain",6/26/2024
UP134610,ME/C Case 24-05774,5/3/2024,60,100,Baltimore,Baltimore,Maryland,Male,White / Caucasian,12/14/2024
UP121067,ME/C Case M24-13230,4/25/2024,25,45,Manhattan,New York,New York,Male,Black / African American,10/22/2024
UP121798,ME/C Case 24-1925,4/23/2024,,,Philadelphia,Philadelphia,Pennsylvania,Female,Uncertain,8/2/2024
UP124870,ME/C Case M2024-1022,4/22/2024,45,55,New York,Bronx,New York,Male,Uncertain,11/15/2024
UP133314,ME/C Case B24-12744,4/21/2024,60,70,Bronx,Bronx,New York,Male,Black / African American,12/3/2024
UP121246,ME/C Case 24-1328,4/12/2024,,,Nashville,Davidson,Tennessee,Male,"Hispanic / Latino, Uncertain",5/2/2024
UP121064,ME/C Case Q24-11828,4/12/2024,40,60,Queens,Queens,New York,Male,Asian,12/9/2024
UP134616,ME/C Case 24-04754,4/10/2024,60,100,Baltimore,Baltimore,Maryland,Male,White / Caucasian,12/10/2024
UP120605,ME/C Case 24-07235,4/6/2024,,,Wallingford,New Haven,Connecticut,Male,White / Caucasian,6/5/2024
UP121080,ME/C Case N2024-00636,4/6/2024,19,39,Bailey's Crossroads,Fairfax,Virginia,Male,White / Caucasian,12/2/2024
UP119751,ME/C Case Q24-10999,4/4/2024,45,65,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",11/17/2024
UP130743,ME/C Case 24-04478,4/4/2024,15,100,Baltimore,Baltimore,Maryland,Male,Uncertain,10/3/2024
UP119737,ME/C Case K24-10245,3/28/2024,30,40,Brooklyn,Kings,New York,Male,Hispanic / Latino,10/29/2024
UP119338,ME/C Case 24-1446,3/21/2024,45,61,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,8/2/2024
UP125030,ME/C Case 24-03711,3/18/2024,60,100,Baltimore,Baltimore,Maryland,Male,Black / African American,7/1/2024
UP125165,ME/C Case 12-24-0425,3/15/2024,,,Jersey City,Hudson,New Jersey,Female,Black / African American,11/20/2024
UP119386,ME/C Case 24-01741,3/11/2024,,,Ireland,Lewis,West Virginia,Male,White / Caucasian,4/27/2024
UP134612,ME/C Case 24-03315,3/9/2024,20,30,Kingsville,Baltimore,Maryland,Female,Hispanic / Latino,12/12/2024
UP118183,ME/C Case M24-07497,3/3/2024,25,40,Manhattan,New York,New York,Male,Black / African American,9/17/2024
UP121086,ME/C Case N2024-00381,2/26/2024,,,,Arlington,Virginia,Male,Uncertain,12/2/2024
UP119199,ME/C Case 24-04174,2/24/2024,,,Lyme,New London,Connecticut,Male,White / Caucasian,6/5/2024
UP117337,ME/C Case 15240276,2/23/2024,24,99,Manchester Township,Ocean,New Jersey,Male,Uncertain,4/4/2024
UP134797,ME/C Case B24-05845,2/15/2024,50,70,Bronx,Bronx,New York,Male,"White / Caucasian, Asian",12/19/2024
UP134477,ME/C Case 24-02218,2/14/2024,30,100,Baltimore,Baltimore,Maryland,Male,White / Caucasian,12/14/2024
UP117153,ME/C Case 24-0774,2/10/2024,19,39,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,4/2/2024
UP116626,ME/C Case ME24-1668/B24-1386,2/6/2024,30,99,Fayetteville,Cumberland,North Carolina,Male,Black / African American,11/6/2024
UP116536,ME/C Case 24-00412,2/4/2024,,,Rochester,Monroe,New York,Female,Black / African American,12/12/2024
UP123477,ME/C Case 24007164,2/3/2024,,,Jonesboro,Clayton,Georgia,Male,Uncertain,9/5/2024
UP119685,ME/C Case Q24-03680,1/29/2024,30,45,Queens,Queens,New York,Male,White / Caucasian,11/26/2024
UP134472,ME/C Case 2024-950 & 2024-3861,1/17/2024,20,60,Holyoke,Hampden,Massachusetts,Male,"White / Caucasian, Black / African American",12/11/2024
UP114417,ME/C Case Q24-00025,1/1/2024,40,60,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino, American Indian / Alaska Native, Uncertain",10/21/2024
UP114582,ME/C Case B23-38792,12/29/2023,20,40,Bronx,Bronx,New York,Male,Hispanic / Latino,11/25/2024
UP130643,ME/C Case 23-16209,12/28/2023,65,68,Glen Burnie,Anne Arundel,Maryland,Male,White / Caucasian,10/3/2024
UP117109,ME/C Case 23-4764,12/28/2023,30,55,Nashville,Davidson,Tennessee,Male,White / Caucasian,2/27/2024
UP115204,ME/C Case Q23-38250,12/26/2023,45,55,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",6/7/2024
UP115454,ME/C Case 23-2297,12/24/2023,19,59,Chamblee,DeKalb,Georgia,Male,Uncertain,5/2/2024
UP113980,ME/C Case Q23-37806,12/21/2023,40,50,Queens,Queens,New York,Male,Hispanic / Latino,11/25/2024
UP115072,ME/C Case C2023-02755,12/9/2023,20,27,Mineral,Louisa,Virginia,Male,"White / Caucasian, Hispanic / Latino, Uncertain",7/8/2024
UP113334,ME/C Case Q23-36367,12/9/2023,50,80,Queens,Queens,New York,Male,Black / African American,11/25/2024
UP117488,ME/C Case T2023-02100,12/8/2023,18,25,Newport News,Newport News,Virginia,Female,"Black / African American, Uncertain",8/14/2024
UP119972,ME/C Case WFAM23-01565,12/1/2023,,,Winston-Salem,Davidson,North Carolina,Male,Uncertain,4/19/2024
UP131809,ME/C Case K23-34752,11/25/2023,,,Brooklyn,Kings,New York,Unsure,Uncertain,11/13/2024
UP117989,ME/C Case 03230904,11/22/2023,30,99,Westampton,Burlington,New Jersey,Male,White / Caucasian,3/20/2024
UP111977,ME/C Case 23-2048,11/17/2023,30,50,Decatur,DeKalb,Georgia,Female,Black / African American,12/17/2024
UP114660,ME/C Case 23-4197,11/16/2023,40,70,Nashville,Davidson,Tennessee,Male,"White / Caucasian, Uncertain",6/21/2024
UP112292,ME/C Case 23-21842,11/12/2023,,,New Haven,New Haven,Connecticut,Male,Black / African American,4/17/2024
UP114703,ME/C Case M23-33066,11/10/2023,30,50,Manhattan,New York,New York,Male,"White / Caucasian, Hispanic / Latino",11/25/2024
UP114167,ME/C Case 2023-1030225,11/10/2023,,,Columbus,Muscogee,Georgia,Unsure,Uncertain,1/8/2024
UP116479,ME/C Case 2023-15578,11/9/2023,,,Rochester,Plymouth,Massachusetts,Female,White / Caucasian,4/19/2024
UP111496,ME/C Case 23-5124,10/30/2023,19,39,Philadelphia,Philadelphia,Pennsylvania,Male,Hispanic / Latino,8/12/2024
UP111096,ME/C Case 23-5066,10/26/2023,60,70,Philadelphia,Philadelphia,Pennsylvania,Male,White / Caucasian,7/15/2024
UP111760,ME/C Case R23-31367,10/26/2023,50,90,Staten Island,Richmond,New York,Male,Hispanic / Latino,10/11/2024
UP120554,ME/C Case M23-31384,10/26/2023,70,80,Manhattan,New York,New York,Male,Asian,11/25/2024
UP114554,ME/C Case B23-6096,10/12/2023,19,99,Charlotte,Mecklenburg,North Carolina,Male,Uncertain,4/18/2024
UP111795,ME/C Case M23-29791,10/12/2023,20,30,Manhattan,New York,New York,Male,"Hispanic / Latino, Uncertain",11/25/2024
UP111071,ME/C Case 23-19564,10/11/2023,,,Waterbury,New Haven,Connecticut,Male,Black / African American,8/20/2024
UP118811,ME/C Case 2023-4916,10/5/2023,20,30,Freeport,Nassau,New York,Male,"White / Caucasian, Hispanic / Latino",4/9/2024
UP110249,ME/C Case 16-23-0827,10/5/2023,19,89,Paterson,Passaic,New Jersey,Female,Black / African American,10/29/2024
UP114008,ME/C Case C2023-02261,10/5/2023,,,South Chesterfield,Chesterfield,Virginia,Unsure,Uncertain,1/30/2024
UP111799,ME/C Case 18-23-0439,10/1/2023,19,69,Warren,Somerset,New Jersey,Male,Hispanic / Latino,7/9/2024
UP113405,ME/C Case 2021-13567,9/29/2023,,,Lawrence,Essex,Massachusetts,Unsure,Uncertain,1/10/2024
UP110015,ME/C Case Q23-28395,9/29/2023,40,60,Queens,Queens,New York,Male,Hispanic / Latino,11/25/2024
UP109670,ME/C Case 11-23-0661,9/28/2023,30,45,Trenton,Mercer,New Jersey,Male,Hispanic / Latino,12/2/2024
UP133986,ME/C Case 23-10940,9/25/2023,50,100,Baltimore,Baltimore,Maryland,Male,Black / African American,11/27/2024
UP109673,ME/C Case 13231113,9/23/2023,50,60,Freehold,Monmouth,New Jersey,Male,Other,11/20/2024
UP117958,ME/C Case 04231088,9/9/2023,24,99,Camden,Camden,New Jersey,Male,White / Caucasian,3/12/2024
UP117344,ME/C Case 23-11105,9/8/2023,19,39,Bowie,Prince George's,Maryland,Male,Hispanic / Latino,9/25/2024
UP110246,ME/C Case 07-23-1739,9/7/2023,19,99,Newark,Essex,New Jersey,Female,Uncertain,7/9/2024
UP108668,ME/C Case Q23-26214,9/7/2023,17,25,Queens,Queens,New York,Female,Black / African American,11/25/2024
UP108751,ME/C Case Q23-26031,9/6/2023,45,65,Queens,Queens,New York,Male,"White / Caucasian, Hispanic / Latino",11/25/2024
UP107632,ME/C Case 23-4094,8/26/2023,30,70,Philadelphia,Philadelphia,Pennsylvania,Female,Uncertain,5/1/2024
UP117880,ME/C Case 15231139,8/26/2023,50,60,Brick Township,Ocean,New Jersey,Female,White / Caucasian,3/12/2024
UP110245,ME/C Case 07-23-1657,8/24/2023,,,Newark,Essex,New Jersey,Male,"Black / African American, Uncertain",7/9/2024
UP122057,ME/C Case 23-10216,8/20/2023,19,99,Hyattsville,Prince George's,Maryland,Male,Hispanic / Latino,11/18/2024
UP112831,ME/C Case 23-10133,8/18/2023,19,39,Baltimore,Baltimore,Maryland,Female,White / Caucasian,12/11/2024
UP107631,ME/C Case M23-23572,8/13/2023,25,40,Manhattan,New York,New York,Male,"Hispanic / Latino, Uncertain",11/25/2024
UP107089,ME/C Case K23-23360,8/10/2023,17,25,Brooklyn,Kings,New York,Female,White / Caucasian,9/6/2024
UP107847,ME/C Case 230805-508,8/5/2023,35,45,Knoxville,Knox,Tennessee,Male,White / Caucasian,11/18/2024
UP107149,ME/C Case Q23-22266,7/31/2023,30,45,Queens,Queens,New York,Male,Hispanic / Latino,11/25/2024
UP106663,ME/C Case Q23-21494,7/24/2023,40,60,Queens,Queens,New York,Male,Hispanic / Latino,11/25/2024
UP107465,ME/C Case 23-1986,7/20/2023,20,40,Reading,Berks,Pennsylvania,Male,"White / Caucasian, Other",8/22/2024
UP107687,ME/C Case 23-1150,7/14/2023,30,60,Olean,Cattaraugus,New York,Male,Black / African American,1/12/2024
UP117970,ME/C Case 20230589,7/12/2023,25,35,Plainfield,Union,New Jersey,Male,Hispanic / Latino,5/8/2024
UP105706,ME/C Case M23-19570,7/5/2023,40,60,Manhattan,New York,New York,Male,Black / African American,11/25/2024
UP114766,ME/C Case 09-23-0676,6/29/2023,,,Bayonne,Hudson,New Jersey,Male,"White / Caucasian, Hispanic / Latino",10/11/2024
UP114039,ME/C Case W2023-00931,6/17/2023,,,,Roanoke,Virginia,Male,Uncertain,9/5/2024
UP110225,ME/C Case 16-23-0501,6/16/2023,19,99,Paterson,Passaic,New Jersey,Male,Black / African American,7/9/2024
UP117978,ME/C Case 04230708,6/16/2023,30,99,Collingswood,Camden,New Jersey,Female,White / Caucasian,3/12/2024
UP108563,ME/C Case WFAM23-00821,6/15/2023,,,Asheville,Buncombe,North Carolina,Unsure,Uncertain,9/23/2023
UP104918,ME/C Case M23-17009,6/9/2023,40,60,Manhattan,New York,New York,Female,Black / African American,10/9/2024
UP104110,ME/C Case 23G-0939,6/2/2023,25,35,Duluth,Gwinnett,Georgia,Female,Black / African American,2/2/2024
UP104660,ME/C Case ME23-6756/B23-3343,6/2/2023,19,49,Garner,Wake,North Carolina,Male,White / Caucasian,10/4/2023
UP104037,ME/C Case Q23-15840,5/29/2023,20,30,Corona,Queens,New York,Male,"White / Caucasian, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Uncertain",11/25/2024
UP114038,ME/C Case W2023-00838,5/27/2023,,,,Bristol,Virginia,Unsure,Uncertain,9/19/2024
UP104535,ME/C Case M23-15461,5/25/2023,45,55,Manhattan,New York,New York,Male,Hispanic / Latino,11/25/2024
UP130665,ME/C Case 23-06345,5/20/2023,60,90,Lanham,Prince George's,Maryland,Male,White / Caucasian,10/3/2024
UP110951,ME/C Case 04230611,5/19/2023,21,99,Camden,Camden,New Jersey,Unsure,Uncertain,7/9/2024
UP112991,ME/C Case 23-06171,5/16/2023,19,29,Baltimore,Baltimore,Maryland,Female,White / Caucasian,5/23/2024
UP106665,ME/C Case 2023-1149,5/16/2023,,,Memphis,Shelby,Tennessee,Male,Uncertain,3/28/2024
UP103845,ME/C Case K23-13926,5/10/2023,55,80,Brooklyn,Kings,New York,Male,Asian,5/3/2024
UP109779,ME/C Case M2023-1072,5/4/2023,,,New Rochelle,Westchester,New York,Male,"White / Caucasian, Uncertain",12/1/2023
UP112992,ME/C Case 23-05562,5/3/2023,19,39,Baltimore,Baltimore,Maryland,Male,Black / African American,7/26/2024
UP126359,ME/C Case 23-05514,5/2/2023,60,100,Baltimore,Baltimore,Maryland,Male,Black / African American,8/23/2024
UP103808,ME/C Case 23-2269,4/29/2023,23,45,Hempstead,Nassau,New York,Male,Uncertain,10/23/2023
UP109374,ME/C Case 2023-6069,4/27/2023,,,Rochester,Plymouth,Massachusetts,Female,White / Caucasian,10/4/2023
UP113976,ME/C Case 20230349,4/27/2023,30,60,Elizabeth,Union,New Jersey,Male,Hispanic / Latino,10/11/2024
UP103397,ME/C Case B23-12416,4/25/2023,50,70,Bronx,Bronx,New York,Female,Black / African American,9/16/2024
UP121990,ME/C Case 23-05201,4/24/2023,18,23,Hyattsville,Prince George's,Maryland,Male,Hispanic / Latino,5/14/2024
UP110224,ME/C Case 07-23-0783,4/23/2023,19,65,Newark,Essex,New Jersey,Male,Hispanic / Latino,1/12/2024
UP123470,ME/C Case 23-05106,4/21/2023,,,Rosedale,Baltimore,Maryland,Female,White / Caucasian,6/5/2024
UP117987,ME/C Case 04230471,4/20/2023,30,99,Camden,Camden,New Jersey,Female,Black / African American,3/14/2024
UP108411,ME/C Case 230418-858,4/18/2023,29,49,Chattanooga,Hamilton,Tennessee,Male,Uncertain,9/15/2023
UP102967,ME/C Case 23-1931,4/17/2023,,,Philadelphia,Philadelphia,Pennsylvania,Male,Black / African American,8/12/2024
UP103323,ME/C Case B23-1745,4/15/2023,40,65,Charlotte,Mecklenburg,North Carolina,Female,"White / Caucasian, Hispanic / Latino",4/18/2024
UP108326,ME/C Case 2023-5317,4/11/2023,0,1,Revere,Suffolk,Massachusetts,Female,"White / Caucasian, Black / African American, Hispanic / Latino, Asian, American Indian / Alaska Native, Hawaiian / Pacific Islander, Other, Uncertain",7/17/2024
UP102635,ME/C Case Q23-10842,4/9/2023,55,80,Queens,Queens,New York,Male,White / Caucasian,12/9/2024
UP103362,ME/C Case 23-06790,3/31/2023,,,Waterbury,New Haven,Connecticut,Male,White / Caucasian,10/13/2023
UP116654,ME/C Case 2024-0086,3/27/2023,,,Upper Tyrone Township,Fayette,Pennsylvania,Unsure,Uncertain,3/18/2024
UP111801,ME/C Case 23-06164,3/21/2023,,,Greenwich,Fairfield,Connecticut,Male,Black / African American,11/17/2023
UP108070,ME/C Case 23-1026,3/20/2023,,,Nashville,Davidson,Tennessee,Unsure,Uncertain,9/10/2023
UP102064,ME/C Case WFAM23-00387,3/11/2023,,,,Polk,North Carolina,Unsure,Uncertain,5/17/2023
UP101499,ME/C Case K23-07521,3/9/2023,50,70,Brooklyn,Kings,New York,Female,Black / African American,12/3/2024
UP101001,ME/C Case 23-1086,2/28/2023,45,60,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Black / African American",5/1/2024
UP121988,ME/C Case 23-02602,2/24/2023,19,99,Baltimore,Baltimore,Maryland,Female,Uncertain,5/14/2024
UP100931,ME/C Case K23-06055,2/23/2023,50,70,Brooklyn,Kings,New York,Male,Black / African American,11/25/2024
UP109097,ME/C Case 02230276,2/18/2023,21,99,North Arlington,Bergen,New Jersey,Female,Uncertain,8/5/2024
UP100608,ME/C Case Q23-05361,2/16/2023,50,90,Queens,Queens,New York,Male,Black / African American,12/9/2024
UP102093,ME/C Case 2023-2390,2/13/2023,,,Nantucket,Nantucket,Massachusetts,Male,,7/20/2024
UP104300,ME/C Case 23-01969,2/10/2023,19,59,Linthicum Heights,Anne Arundel,Maryland,Male,Black / African American,8/9/2024
UP100480,ME/C Case K23-04284,2/7/2023,55,70,Brooklyn,Kings,New York,Male,Black / African American,12/10/2024
UP109094,ME/C Case 02230201,2/5/2023,30,99,Alpine,Bergen,New Jersey,Male,Uncertain,8/5/2024
UP100533,ME/C Case M23-03318,1/29/2023,50,80,Manhattan,New York,New York,Male,Black / African American,11/25/2024
UP99882,ME/C Case 23-0528,1/28/2023,25,40,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Black / African American",2/3/2024
UP104739,ME/C Case 23-00128,1/26/2023,,,Glen Burnie,Anne Arundel,Maryland,Unsure,Uncertain,6/23/2023
UP110268,ME/C Case 17230009,1/22/2023,45,65,Pittsgrove Township,Salem,New Jersey,Male,Hispanic / Latino,7/9/2024
UP104910,ME/C Case M23-02343,1/20/2023,30,40,Manhattan,New York,New York,Male,Hispanic / Latino,5/3/2024
UP102185,ME/C Case 01-23-0020,1/7/2023,19,39,Atlantic City,Atlantic,New Jersey,Male,White / Caucasian,7/9/2024
UP99253,ME/C Case M23-00664,1/6/2023,40,60,Manhattan,New York,New York,Male,"White / Caucasian, Hispanic / Latino",11/25/2024
UP99760,ME/C Case 23-0068,1/5/2023,25,35,Old Hickory,Davidson,Tennessee,Female,White / Caucasian,11/16/2023
UP115604,ME/C Case 16-24-0085,1/3/2023,,,,Passaic,New Jersey,Male,Uncertain,7/9/2024
UP101204,ME/C Case No ME #,12/31/2022,,,Newark,Essex,New Jersey,Female,Asian,3/10/2023
UP98787,ME/C Case M22-40635,12/24/2022,45,65,New York,New York,New York,Male,"White / Caucasian, Hispanic / Latino",11/26/2024
UP98806,ME/C Case 22-6267,12/10/2022,40,60,Philadelphia,Philadelphia,Pennsylvania,Male,"White / Caucasian, Hispanic / Latino",8/14/2024
UP98383,ME/C Case 22-6278,12/10/2022,25,39,Philadelphia,Philadelphia,Pennsylvania,Female,Black / African American,5/23/2024
