County,State,Case Count
Raleigh,West Virginia,1
Randolph,North Carolina,2
Richmond,Georgia,5
Richmond,New York,31
Richmond,Virginia,13
Roane,Tennessee,1
Roanoke,Virginia,3
Robertson,Tennessee,1
Robeson,North Carolina,5
Rockbridge,Virginia,1
Rockdale,Georgia,1
Rockingham,New Hampshire,2
Rockingham,Virginia,1
Rockland,New York,3
Rowan,North Carolina,2
Rutherford,North Carolina,1
Rutherford,Tennessee,2
Rutland,Vermont,1
Sagadahoc,Maine,3
Salem,New Jersey,6
Sampson,North Carolina,5
Saratoga,New York,1
Schuylkill,Pennsylvania,2
Seminole,Georgia,2
Seneca,New York,2
Shelby,Tennessee,35
Shenandoah,Virginia,1
Somerset,New Jersey,3
Somerset,Pennsylvania,3
Stafford,Virginia,5
Stephens,Georgia,1
Stewart,Georgia,1
Suffolk,Massachusetts,72
Suffolk,New York,31
Suffolk,Virginia,1
Sullivan,New York,1
Surry,North Carolina,1
Susquehanna,Pennsylvania,1
Sussex,New Jersey,3
Sussex,Virginia,3
Talbot,Maryland,1
Tattnall,Georgia,1
Troup,Georgia,2
Twiggs,Georgia,1
Ulster,New York,8
Union,New Jersey,16
Virginia Beach,Virginia,10
Wake,North Carolina,11
Waldo,Maine,1
Warren,New Jersey,3
Warren,Virginia,1
Washington,Georgia,1
Washington,Maine,2
Washington,Maryland,3
Washington,Pennsylvania,3
Washington,Virginia,2
Wayne,New York,8
Wayne,North Carolina,6
Wayne,Pennsylvania,1
Wayne,West Virginia,3
Westchester,New York,15
Wetzel,West Virginia,1
Whitfield,Georgia,2
Wicomico,Maryland,3
Williamsburg,Virginia,2
Williamson,Tennessee,1
Wilson,North Carolina,3
Wilson,Tennessee,1
Windham,Connecticut,2
Windsor,Vermont,2
Worcester,Maryland,7
Worcester,Massachusetts,13
Worth,Georgia,1
York,Maine,9
York,Pennsylvania,2
York,Virginia,3
